user_name,comment,likes,sentiment
aqiqul Abdul hasan,Jadi suka nonton YouTube klow kayak gini,,1
Black Tigerll,Wow so beautiful😍😍😍,1,1
Pram Gaming,❤️🇲🇨,1,1
mantap mania,Cantikkkk bgt woiiiiiiii,1,1
Andrew Tandey,beauty face and angel voice perfect combination 😍,4,1
heri santoso,❤️,1,1
Deadline Free To Be Creative,boleh tau micnya merek apa bersih banget suaranya,,1
InYourDrum,❤❤❤,1,1
weizhen cai,是华人么？,1,1
Vincent Tan,❤❤💯,1,1
opick_ 69,Miss u,,-1
zhu tupac,啪啪啪,1,1
Erick Pidux,❤️❤️❤️,1,1
王Ray,"Although I can't understand what you mean by singing, your beautiful song makes me sink, and you wearing glasses make me more intoxicated",8,1
PATRICK KOSANTO,😍😍,1,1
Webinar Nasional HMKM,Perfect as always ka val,1,1
Rovem Tolentino,💕💕💕,1,1
Habel Tandi,😍😍😍,1,1
Alor One Channel,👏👏👏,1,1
Sumanto Kelvin,My gorgeous angel 🌷,1,1
Maz_Jo 70,Kasih tex dong..dang..Ding...dong,,1
daniel becardo,CAKEP BANGET SIH,1,1
gandi alex,Ngeunaheun,1,1
Sugeng Eko Saputro,"Trenggalek,, Hadir",1,1
faid abeng,Tobat gua tobatt,1,1
Dimas Zegastian,"Cantik bgt, suaranya best. Ga kebayang kalo bisa duet bareng :(

Godbless you always, hope i can meet you at somewhere someday 🙏🏼",2,1
Retna Rizky Pujangga,Pake kacamata suka kibasin rambut 😍 bikin meleleh aja,1,1
GMing'FF Nobz,"Anjayyy... Ga fokus gw ,,,😘",1,-1
Fauzi Ilman yasin,Geregetan pas lg mainin rambut... Uwuuu bat,,1
Ansel JR,Vocal okelah,1,1
Andrew Christianto,"val, yang ini video nya antara kata2 dan gerak bibir kadang ga pas. but your voice always amazing and you looks stunning here",,1
Varianta Warman,Divideo ini mukanya sikit chubby😁,,1
Azman Scifo,The shoulder song..👌,1,1
Kamril Yeriko,Bantu share biar subs nya banyak,1,1
Michael DiRoma,"Ah ha, she’s American raised, probably Brooklyn NY...he...he 🧐",1,1
Fahd Azhar,kakak cantik bangetttt :(,1,1
M Dedi Rudianto,kawosnya melorot mbak,,1
All In One,kayak............  Lipsync,,1
red black,"Coba kaka cover lagu anime pasti banyak yang nonton
Soalnya di indo banyak yang suka anime
Ditamba lagi muka kaka mirip orang jepang",1,1
Brillianzt Theodore,Wo ai ni... 🌹💗💗💗💗💗,,1
Muhammad Nafi' Nur Dzaky,"Gatau kenapa, cm pengen bilang cantik",,-1
RDXtube Kinemaster,Jadi kagum klo dengar suaranya perfech,1,1
Kenneth So,I literally have to give you a thumbs down. It is not because you don’t have a good voice. It’s because your way too young. The recommendations on YouTube is going to get me arrested. 🤦🏻‍♂️,,1
Pesona Laut,"kok ada ya manusia seperti ini, sempurna banget.. mungkin dy ini jatuh dari kayangan trs gak bisa balik kali ya",,-1
NKRI HAGAMATI,"Siapa yg salfok sm dress nya, berharap harap cemas agar supaya gimana gitu lah, kyk aku..???",1,1
BESTCRIPT,MAAAAKKK AKU INGIN NIKAHHHH,,1
Becenk Joter,👍👍👍,,1
ant ok,"heran saya.. kalau liat kebiasaan streamer indo harusnya ini chanel udah booming, tapi kenapa subscribe & viuwernya  baru sedikit !?  bantu share dong guys, biar dia terus semangat bikin video & chanel ini terus berkembang.. ya kan !",,1
Muhammad Mirza M,while my demons stay faithful,1,1
Rizky Musician,Duh istrikuuuu:v,1,1
Rio pambudi,"sayang suaranya bagus bgt pdhl,.,tp kalo gitarnya gak kenceng2 lebih enak,.,suarana vokal nya kek denggung .,.,harus nya suara vokalnya kurang lebih sama kek pas cover ""sedang sayang-sayangnya"".,.,soal enak suaranya kalo natural gitu menurutku si",,1
SarLep Channel,siapa disini nonton video2nya valerie di skip2 buat liat senyumnya valerie..?,1,1
Pastry Part,waiting you in my life #dedegideon,1,1
Cicin Ahmad,You are beautifull,,1
zai zainudin,Cantik luar biasa,1,1
